Zip	City	State	Abbr.	County	Long	Lat	
42601	Aaron	Kentucky	KY		-85.1991	36.8128	
16820	Aaronsburg	Pennsylvania	PA	Centre	-77.4562	40.8987	
36310	Abbeville	Alabama	AL	Henry	-85.279	31.5755	
31001	Abbeville	Georgia	GA	Wilcox	-83.3068	31.9648	
70510	Abbeville	Louisiana	LA	Vermilion	-92.2416	29.9466	
70511	Abbeville	Louisiana	LA	Vermilion	-92.1767	30.0324	
38601	Abbeville	Mississippi	MS	Lafayette	-89.4475	34.4719	
29620	Abbeville	South Carolina	SC	Abbeville	-82.3785	34.1819	
4406	Abbot	Maine	ME	Piscataquis	-69.5699	45.2345	
54405	Abbotsford	Wisconsin	WI	Clark	-90.2994	44.9641	
76621	Abbott	Texas	TX	Hill	-97.0671	31.8916	
17301	Abbottstown	Pennsylvania	PA	Adams	-76.9931	39.8881	
67510	Abbyville	Kansas	KS	Reno	-98.2071	37.9626	
20606	Abell	Maryland	MD	St. Mary's	-76.7481	38.2471	
58001	Abercrombie	North Dakota	ND	Richland	-96.7278	46.4479	
83210	Aberdeen	Idaho	ID	Bingham	-112.84	43.0049	
42201	Aberdeen	Kentucky	KY	Butler	-86.6702	37.2796	
21001	Aberdeen	Maryland	MD	Harford	-76.1805	39.5109	
39730	Aberdeen	Mississippi	MS	Monroe	-88.538	33.8284	
28315	Aberdeen	North Carolina	NC	Moore	-79.445	35.1216	
45101	Aberdeen	Ohio	OH	Brown	-83.7637	38.6709	
57401	Aberdeen	South Dakota	SD	Brown	-98.4856	45.4661	
57402	Aberdeen	South Dakota	SD	Brown	-98.352	45.5896	
98520	Aberdeen	Washington	WA	Grays Harbor	-123.796	46.9843	
21005	Aberdeen Proving Ground	Maryland	MD	Harford	-76.1208	39.4771	
35440	Abernant	Alabama	AL	Tuscaloosa	-87.1898	33.311	
79311	Abernathy	Texas	TX	Hale	-101.861	33.85	
68001	Abie	Nebraska	NE	Butler	-96.9563	41.3479	
67410	Abilene	Kansas	KS	Dickinson	-97.2063	38.9371	
79608	Abilene	Texas	TX	Taylor	-99.8907	32.3021	
79697	Abilene	Texas	TX	Taylor	-99.8907	32.3021	
79606	Abilene	Texas	TX	Taylor	-99.7746	32.392	
79602	Abilene	Texas	TX	Taylor	-99.7214	32.4178	
79604	Abilene	Texas	TX	Taylor	-99.7952	32.4288	
79605	Abilene	Texas	TX	Taylor	-99.7724	32.432	
79699	Abilene	Texas	TX	Taylor	-99.7117	32.4665	
79603	Abilene	Texas	TX	Taylor	-99.7619	32.4679	
79601	Abilene	Texas	TX	Taylor	-99.7182	32.4682	
79698	Abilene	Texas	TX	Taylor	-99.7348	32.4751	
61410	Abingdon	Illinois	IL	Knox	-90.4009	40.8023	
21009	Abingdon	Maryland	MD	Harford	-76.2997	39.4744	
24211	Abingdon	Virginia	VA	Washington	-81.9648	36.6673	
24212	Abingdon	Virginia	VA	Washington	-81.9708	36.6909	
24210	Abingdon	Virginia	VA	Washington	-82.02	36.6916	
6230	Abington	Connecticut	CT	Windham	-72.0253	41.8473	
2351	Abington	Massachusetts	MA	Plymouth	-70.9543	42.1167	
19001	Abington	Pennsylvania	PA	Montgomery	-75.1148	40.1238	
87510	Abiquiu	New Mexico	NM	Rio Arriba	-106.245	36.1769	
70420	Abita Springs	Louisiana	LA	St. Tammany	-90.0041	30.4837	
54101	Abrams	Wisconsin	WI	Oconto	-88.0571	44.7869	
58002	Absaraka	North Dakota	ND	Cass	-97.4069	46.9763	
59001	Absarokee	Montana	MT	Stillwater	-109.469	45.5154	
8201	Absecon	New Jersey	NJ	Atlantic	-74.4949	39.4218	
8205	Absecon	New Jersey	NJ	Atlantic	-74.4575	39.4745	
95220	Acampo	California	CA	San Joaquin	-121.219	38.2004	
21520	Accident	Maryland	MD	Garrett	-79.3085	39.6355	
20607	Accokeek	Maryland	MD	Prince George's	-77.0162	38.672	
23301	Accomac	Virginia	VA	Accomack	-75.6803	37.7159	
2018	Accord	Massachusetts	MA	Plymouth	-70.7014	41.9705	
12404	Accord	New York	NY	Ulster	-74.2353	41.8083	
25606	Accoville	West Virginia	WV	Logan	-81.9024	37.8332	
77326	Ace	Texas	TX	Polk	-94.8221	30.5209	
